,Branch length stretch,Local substitution rate,date,numdate
BIOD01142,1.000099556730097,0.9152499135739223,-187000000.0,-186195637.75124022
BIOD01326,1.0002873163933512,1.154255899212628,-187000000.0,-186195637.75124022
BIOD01888,0.9966458185913781,2.676193368842798,-187000000.0,-186195637.75124022
BIOD02297,6.221646160004185e-07,1.646752481231634,-187000000.0,-186195637.75065663
BIOD02657,1.0016404475233158,3.302238886852078,-187000000.0,-186195637.75124022
BIOD04951,0.9980538495674878,0.5986762384708243,-187000000.0,-186195637.75124022
BIOD05282,2.0,0.0005632309813204492,-187000000.0,-186195637.75124022
BIOD05381,2.0,0.0005632309813204492,-187000000.0,-186195637.75124022
BIOD05570,0.9983827644058701,2.624582164815492,-187000000.0,-186195637.75124022
BIOD05708,2.0,0.0036511223975550524,-187000000.0,-186195637.75124022
BIOD06299,4.848609232158581e-07,0.9412642330909451,-187000000.0,-186195637.75065663
BIOD06438,1.0006604297280628,1.085542536506137,-187000000.0,-186195637.75124022
BIOD06605,5.112861454390947e-07,1.0462350122539887,-187000000.0,-186195637.75065663
BIOD07125,0.9909005563519785,2.314132354823448,-187000000.0,-186195637.75124022
BIOD07160,0.9997472589191614,1.9544280635864948,-187000000.0,-186195637.75124022
BIOD07184,4.848609232158581e-07,0.9412642330909451,-187000000.0,-186195637.75065663
BIOD07472,1.0006419374273754,0.6414211972354532,-187000000.0,-186195637.75124022
BIOD07966,1.0009895904474224,0.6344955638070229,-187000000.0,-186195637.75124022
BIOD08849,2.0,0.00034541687896512874,-187000000.0,-186195637.75124022
BIOD08912,5.112861454390947e-07,1.0462350122539887,-187000000.0,-186195637.75065663
BIOD09146,2.0,0.00034541687896512874,-187000000.0,-186195637.75124022
BIOD09817,2.0,0.0005632309813204492,-187000000.0,-186195637.75124022
BIOD09830,1.0000326205340306,1.1104212395274842,-187000000.0,-186195637.75124022
BIOD09858,1.0005247752183597,1.5993381133839146,-187000000.0,-186195637.75124022
BIOD10042,0.9960601190832793,1.5809898566308642,-187000000.0,-186195637.75124022
GBDL00014,1.0016203920762552,0.7169087957158508,-207000000.0,-206109610.6346784
GBDL00031,5.048627479949063e-07,1.0196880877997851,-187000000.0,-186195637.75065663
